aluno_id,nome,sobrenome,ultimo_nome,cpf,telefone,email,idade
2,Davi,Gomes ,Mendes,12312312322,81999919312,mendes@xptio,19
6,Arthur,Vasconcelos,Gomes,1231231232,1231231231,arthur@xppto.com,13
7,Julia,Souto,Leal,8877342343,2423423432,jjsouto@xpto.com,20
3,gabi,buarque,albur,5577898,0999889898,gabi@xpto.com,19
5,Cleonaldo,Nascimento,Mendes,123123121,123454543,cleonalfo@xpto,21
8,Edson,Souza,Andrade,44455533342,81992932323,edandsou@xpto.com,17
9,Wilson,Luiz,Castro,12312332211,3123232132,castro.luizWils4@xpto.com,17
10,Hannah ,Montana,Silva,233322333,31233256765,monteHannaS@xpto.com,16
12,Marcela,Alves,Dias,8899123232,819977694555,diasma33ce@xpto.com,17
13,Gabriela ,Alves,Dias,1232377655,81995564444,gabidias4432@xpto.com,17
11,Rafael ,Coelho,Santana,888999554,81993232554,rrcoelhoss23@xpto.com,18
14,Caio ,Furtado,Miranda,88800055522,81967765590,caioroubadinho77@gmail.com,20
15,Julio,Candido,Cocielo,12367788932,81932447667,julioaeronaticabrigadeirococielo@gmail.com,20
16,Joao,Marcolino,Bolsista,13232312333,819937232,bolsistajoaomoura@gmail.com,20
